Designator,Mid x,Mid Y,Layer,Rotation
C1,86.5,-137.5,bottom,90
C2,86.295,-111.5,bottom,180
C3,85,-117.75,bottom,90
C4,86.57,-117.75,bottom,90
C7,70.08,-114.25,bottom,90
C8,80.3,-128.25,bottom,90
C9,72.58,-113.8,bottom,0
C10,86.75,-122,bottom,180
C11,70.01,-123.5,bottom,90
C12,78,-113.1,bottom,270
C13,83.875,-112.5,bottom,270
C14,82.875,-112.5,bottom,270
C15,62.1,-120.8,bottom,90
C16,79.6,-110.5,bottom,90
C17,69.5,-117.75,bottom,180
C18,76.8,-129.1,bottom,180
C19,67.9,-121,bottom,270
C37,86.75,-121,bottom,0
C41,67.5,-132.9325,bottom,270
C43,72.5,-137.136,bottom,0
C47,72.5,-139.136,bottom,0
C49,72.5,-138.136,bottom,0
C51,98.0875,-120.725,bottom,90
C52,102.0875,-116.725,bottom,180
C53,98.2524,-140.9807,bottom,270
C54,96.25,-141.7307,bottom,270
C55,100.2524,-142.9807,bottom,180
C58,97.3375,-123.475,bottom,0
C59,104.8375,-120.75,bottom,90
C60,103.8375,-127.725,bottom,270
C61,104.5875,-117.225,bottom,180
C63,98.25,-48.75,bottom,0
C64,94.75,-48.75,bottom,0
C66,84.4,-124.75,bottom,90
C67,75,-127.75,bottom,90
C68,71.01,-125.25,bottom,0
C69,98.5,-59.25,bottom,180
C78,94.5,-59.25,bottom,0
C96,74.395,-102.0375,bottom,270
C97,72.895,-102.0375,bottom,270
C98,68.895,-106.425,bottom,270
C99,73.395,-106.8125,bottom,90
D26,111.75,-123.75,bottom,180
D29,80.75,-55.25,bottom,90
D30,95.3375,-118.725,bottom,90
D54,101,-127.975,bottom,90
D55,100.7524,-135.9807,bottom,0
D59,81.25,-139.5,bottom,180
J2,111.775,-109.75,bottom,270
J4,106,-96,bottom,270
J5,82.5,-97,bottom,180
J6,105.55,-55.5,bottom,270
J7,110.975,-63.25,bottom,270
L1,88.5,-117.75,bottom,90
L3,95.5,-128.975,bottom,270
L4,70.895,-106.925,bottom,270
Q2,94.7524,-137.0432,bottom,270
R1,83.5,-137,bottom,180
R2,86.295,-113,bottom,0
R3,81,-142.75,bottom,90
R4,103.75,-110.25,bottom,0
R5,103.75,-108.5,bottom,0
R6,68.89,-119,bottom,180
R7,65,-132.5,bottom,180
R17,66.83,-114,bottom,270
R18,68.58,-114,bottom,90
R23,74.5,-138.232,bottom,90
R25,107.2524,-136.4807,bottom,180
R28,78.75,-138,bottom,90
R29,107.5,-140.5,bottom,90
R36,100.0875,-115.725,bottom,270
R37,105.605,-124.225,bottom,90
R38,104,-124.225,bottom,270
R39,104.0875,-115.225,bottom,180
R49,111.75,-126.5,bottom,270
SW1,87,-51,bottom,180
SW_BOOTSEL1,110.25,-118.75,bottom,0
SW_PTT1,62.2125,-74.225,bottom,270
SW_RESET1,64.5,-127.75,bottom,0
SW_SIDE1,62.2125,-62.725,bottom,270
SW_SIDE2,62.2125,-93.725,bottom,270
U1,83.5,-133,bottom,0
U4,70.2,-102.65,bottom,270
U5,73,-133,bottom,0
U7,77.88,-120.75,bottom,90
U8,73,-142,bottom,180
U9,103.2524,-139.9807,bottom,180
U10,101.750189,-119.999,bottom,0
U11,60,-53,bottom,90
U13,96.5,-54,bottom,270
Y1,65,-120.65,bottom,180
C26,82.5,-64.75,top,180
C27,95.9,-75,top,270
C28,83.65,-70.25,top,0
C29,82.4,-74.5,top,270
C30,97.4,-75,top,270
C31,93.9,-75,top,270
C32,91.9,-75,top,270
